TIME	CH1	CH2	CH3	CH4
0.0001638	-1	-0.125	-0.078125	-0.046875
0.00016376	-1	-0.125	-0.0625	-0.046875
0.00016372	-1	-0.125	-0.0625	-0.046875
0.00016368	-1	-0.125	-0.078125	-0.046875
0.00016364	-1	-0.125	-0.078125	-0.046875
0.0001636	-1	-0.125	-0.078125	-0.046875
0.00016356	-1	-0.125	-0.0625	-0.046875
0.00016352	-1	-0.125	-0.078125	-0.046875
0.00016348	-1	-0.125	-0.0625	-0.046875
0.00016344	-1	-0.125	-0.078125	-0.046875
0.0001634	-1	-0.125	-0.078125	-0.046875
0.00016336	-1	-0.125	-0.0625	-0.046875
0.00016332	-1	-0.125	-0.078125	-0.046875
0.00016328	-1	-0.125	-0.078125	-0.046875
0.00016324	-1.03125	-0.125	-0.078125	-0.046875
0.0001632	-1	-0.125	-0.078125	-0.046875
0.00016316	-1	-0.125	-0.0625	-0.046875
0.00016312	-1.03125	-0.125	-0.078125	-0.046875
0.00016308	-1.03125	-0.125	-0.0625	-0.046875
0.00016304	-1.03125	-0.125	-0.0625	-0.046875
0.000163	-1.03125	-0.125	-0.078125	-0.046875
0.00016296	-1.03125	-0.125	-0.078125	-0.046875
0.00016292	-1.03125	-0.125	-0.0625	-0.046875
0.00016288	-1.03125	-0.125	-0.0625	-0.046875
0.00016284	-1.03125	-0.125	-0.078125	-0.046875
0.0001628	-1.03125	-0.125	-0.078125	-0.046875
0.00016276	-1.03125	-0.125	-0.078125	-0.046875
0.00016272	-1.03125	-0.125	-0.078125	-0.046875
0.00016268	-1.03125	-0.125	-0.0625	-0.046875
0.00016264	-1.03125	-0.125	-0.078125	-0.046875
0.0001626	-1.03125	-0.125	-0.0625	-0.046875
0.00016256	-1.03125	-0.125	-0.078125	-0.046875
0.00016252	-1.03125	-0.125	-0.078125	-0.046875
0.00016248	-1.03125	-0.125	-0.078125	-0.046875
0.00016244	-1.03125	-0.125	-0.078125	-0.046875
0.0001624	-1.03125	-0.125	-0.078125	-0.046875
0.00016236	-1.03125	-0.125	-0.078125	-0.046875
0.00016232	-1.03125	-0.125	-0.078125	-0.046875
0.00016228	-1.04688	-0.125	-0.078125	-0.046875
0.00016224	-1.03125	-0.125	-0.0625	-0.046875
0.0001622	-1.03125	-0.125	-0.0625	-0.046875
0.00016216	-1.03125	-0.125	-0.078125	-0.046875
0.00016212	-1.03125	-0.125	-0.078125	-0.046875
0.00016208	-1.03125	-0.125	-0.078125	-0.046875
0.00016204	-1.04688	-0.125	-0.078125	-0.046875
0.000162	-1.04688	-0.125	-0.078125	-0.046875
0.00016196	-1.04688	-0.125	-0.078125	-0.046875
0.00016192	-1.04688	-0.125	-0.078125	-0.046875
0.00016188	-1.04688	-0.125	-0.078125	-0.046875
0.00016184	-1.04688	-0.125	-0.078125	-0.046875
0.0001618	-1.04688	-0.125	-0.078125	-0.046875
0.00016176	-1.04688	-0.125	-0.078125	-0.046875
0.00016172	-1.04688	-0.125	-0.078125	-0.046875
0.00016168	-1.04688	-0.125	-0.0625	-0.046875
0.00016164	-1.04688	-0.125	-0.0625	-0.046875
0.0001616	-1.04688	-0.125	-0.078125	-0.046875
0.00016156	-1.04688	-0.125	-0.078125	-0.046875
0.00016152	-1.04688	-0.125	-0.078125	-0.046875
0.00016148	-1.04688	-0.125	-0.0625	-0.046875
0.00016144	-1.04688	-0.125	-0.078125	-0.046875
0.0001614	-1.04688	-0.125	-0.078125	-0.046875
0.00016136	-1.04688	-0.125	-0.078125	-0.046875
0.00016132	-1.04688	-0.125	-0.0625	-0.046875
0.00016128	-1.04688	-0.125	-0.0625	-0.046875
0.00016124	-1.04688	-0.125	-0.078125	-0.046875
0.0001612	-1.04688	-0.125	-0.078125	-0.046875
0.00016116	-1.04688	-0.125	-0.0625	-0.046875
0.00016112	-1.04688	-0.125	-0.078125	-0.046875
0.00016108	-1.04688	-0.125	-0.078125	-0.046875
0.00016104	-1.0625	-0.125	-0.078125	-0.046875
0.000161	-1.0625	-0.125	-0.078125	-0.046875
0.00016096	-1.04688	-0.125	-0.0625	-0.046875
0.00016092	-1.0625	-0.125	-0.0625	-0.046875
0.00016088	-1.0625	-0.125	-0.078125	-0.046875
0.00016084	-1.0625	-0.125	-0.078125	-0.046875
0.0001608	-1.0625	-0.125	-0.0625	-0.046875
0.00016076	-1.0625	-0.125	-0.0625	-0.046875
0.00016072	-1.0625	-0.125	-0.0625	-0.046875
0.00016068	-1.0625	-0.125	-0.0625	-0.046875
0.00016064	-1.0625	-0.125	-0.0625	-0.046875
0.0001606	-1.0625	-0.125	-0.0625	-0.046875
0.00016056	-1.0625	-0.125	-0.0625	-0.046875
