TIME	CH1	CH2	CH3	CH4
1.638e+07	-0.03125	-0.03125	0	0.015625
1.6376e+07	-0.03125	-0.03125	0	0.015625
1.6372e+07	-0.03125	-0.03125	0	0.03125
1.6368e+07	-0.03125	-0.03125	0	0.015625
1.6364e+07	-0.03125	-0.03125	0	0.03125
1.636e+07	-0.03125	-0.03125	0	0.015625
1.6356e+07	-0.03125	-0.03125	0	0.03125
1.6352e+07	-0.03125	-0.03125	0	0.015625
1.6348e+07	-0.03125	-0.03125	0	0.015625
1.6344e+07	-0.03125	-0.03125	0	0.015625
1.634e+07	-0.03125	-0.03125	0	0.03125
1.6336e+07	-0.03125	-0.03125	0	0.03125
1.6332e+07	-0.03125	-0.03125	0	0.015625
1.6328e+07	-0.03125	-0.03125	0	0.03125
1.6324e+07	-0.03125	-0.03125	0	0.03125
1.632e+07	-0.03125	-0.03125	0	0.015625
1.6316e+07	0	-0.03125	0	0.03125
1.6312e+07	-0.03125	-0.03125	0	0.015625
1.6308e+07	-0.03125	-0.03125	0	0.03125
1.6304e+07	-0.03125	-0.03125	0	0.015625
1.63e+07	0	-0.03125	0	0.03125
1.6296e+07	-0.03125	-0.03125	0	0.015625
1.6292e+07	-0.03125	-0.03125	0	0.015625
1.6288e+07	-0.03125	-0.03125	0	0.015625
1.6284e+07	-0.03125	-0.03125	0	0.015625
1.628e+07	-0.03125	-0.03125	0	0.015625
1.6276e+07	-0.03125	-0.03125	0	0.015625
1.6272e+07	-0.03125	-0.03125	0	0.015625
1.6268e+07	-0.03125	-0.03125	0	0.015625
1.6264e+07	-0.03125	-0.03125	0	0.015625
1.626e+07	0	-0.03125	0	0.015625
1.6256e+07	-0.03125	-0.03125	0	0.015625
1.6252e+07	-0.03125	-0.03125	0	0.03125
1.6248e+07	-0.03125	-0.03125	0	0.015625
1.6244e+07	-0.03125	-0.03125	0	0.015625
1.624e+07	-0.03125	-0.03125	0	0.015625
1.6236e+07	-0.03125	-0.03125	0	0.015625
1.6232e+07	-0.03125	-0.03125	0	0.03125
1.6228e+07	-0.03125	-0.03125	0	0.015625
1.6224e+07	-0.03125	-0.03125	0	0.015625
1.622e+07	-0.03125	-0.03125	0	0.015625
1.6216e+07	-0.03125	-0.03125	0	0.03125
1.6212e+07	-0.03125	-0.03125	0	0.03125
1.6208e+07	-0.03125	-0.03125	0	0.015625
1.6204e+07	-0.03125	-0.03125	0	0.015625
1.62e+07	-0.03125	-0.03125	0	0.015625
1.6196e+07	-0.03125	-0.03125	0	0.03125
1.6192e+07	-0.03125	-0.03125	0	0.015625
1.6188e+07	-0.03125	-0.03125	0	0.015625
1.6184e+07	-0.03125	-0.03125	0	0.03125
1.618e+07	-0.03125	-0.03125	0	0.03125
1.6176e+07	-0.03125	-0.03125	0	0.015625
1.6172e+07	-0.03125	-0.03125	0	0.03125
1.6168e+07	-0.03125	-0.03125	0	0.03125
1.6164e+07	-0.03125	-0.03125	0	0.015625
1.616e+07	-0.03125	-0.03125	0	0.03125
1.6156e+07	-0.03125	-0.03125	0	0.015625
1.6152e+07	-0.03125	-0.03125	0	0.015625
1.6148e+07	-0.03125	-0.03125	0	0.03125
1.6144e+07	-0.03125	-0.03125	0	0.015625
1.614e+07	-0.03125	-0.03125	0	0.015625
1.6136e+07	-0.03125	-0.03125	0	0.03125
1.6132e+07	-0.03125	-0.03125	0	0.03125
1.6128e+07	-0.03125	-0.03125	0	0.015625
1.6124e+07	-0.03125	-0.03125	0	0.015625
1.612e+07	-0.03125	-0.03125	0	0.015625
1.6116e+07	-0.03125	-0.03125	0	0.03125
1.6112e+07	-0.03125	-0.03125	0	0.015625
1.6108e+07	-0.03125	-0.03125	0	0.015625
1.6104e+07	-0.03125	-0.03125	0	0.015625
1.61e+07	-0.03125	-0.03125	0	0.03125
1.6096e+07	-0.03125	-0.03125	0	0.015625
1.6092e+07	-0.03125	-0.03125	0	0.015625
1.6088e+07	-0.03125	-0.03125	0	0.03125
1.6084e+07	-0.03125	-0.03125	0	0.015625
1.608e+07	-0.03125	-0.03125	0	0.015625
1.6076e+07	-0.03125	-0.03125	0	0.015625
1.6072e+07	-0.03125	-0.03125	0	0.015625
1.6068e+07	-0.03125	-0.03125	0	0.015625
1.6064e+07	-0.03125	-0.03125	0	0.015625
1.606e+07	-0.03125	-0.03125	0	0.03125
1.6056e+07	-0.03125	-0.03125	0	0.015625
1.6052e+07	-0.03125	-0.03125	0	0.015625
1.6048e+07	-0.03125	-0.03125	0	0.015625
1.6044e+07	-0.03125	-0.03125	0	0.015625
1.604e+07	-0.03125	-0.03125	0	0.015625
1.6036e+07	-0.03125	-0.03125	0	0.015625
1.6032e+07	-0.03125	-0.03125	0	0.015625
1.6028e+07	-0.03125	-0.03125	0	0.015625
1.6024e+07	-0.03125	-0.03125	0	0.015625
1.602e+07	-0.03125	-0.03125	0	0.03125
1.6016e+07	-0.03125	-0.03125	0	0.015625
1.6012e+07	-0.03125	-0.03125	0	0.015625
1.6008e+07	-0.03125	-0.03125	0	0.015625
1.6004e+07	-0.03125	-0.03125	0	0.015625
1.6e+07	-0.03125	-0.03125	0	0.015625
1.5996e+07	-0.03125	-0.03125	0	0.015625
1.5992e+07	-0.03125	-0.03125	0	0.015625
1.5988e+07	-0.03125	-0.03125	0	0.03125
1.5984e+07	-0.03125	-0.03125	0	0.015625
1.598e+07	-0.03125	-0.03125	0	0.03125
1.5976e+07	-0.03125	-0.03125	0	0.03125
1.5972e+07	-0.03125	-0.03125	0	0.03125
1.5968e+07	-0.03125	-0.03125	0	0.015625
1.5964e+07	0	-0.03125	0	0.03125
1.596e+07	-0.03125	-0.03125	0	0.015625
1.5956e+07	-0.03125	-0.03125	0	0.03125
1.5952e+07	-0.03125	-0.03125	0	0.015625
1.5948e+07	-0.03125	-0.03125	0	0.015625
1.5944e+07	-0.03125	-0.03125	0	0.015625
1.594e+07	-0.03125	-0.03125	0	0.03125
1.5936e+07	0	-0.03125	0	0.015625
1.5932e+07	-0.03125	-0.03125	0	0.015625
1.5928e+07	-0.03125	-0.03125	0	0.015625
1.5924e+07	-0.03125	-0.03125	0	0.015625
1.592e+07	-0.03125	-0.03125	0	0.015625
1.5916e+07	-0.03125	-0.03125	0	0.015625
1.5912e+07	-0.03125	-0.03125	0	0.015625
1.5908e+07	-0.03125	-0.03125	0	0.015625
1.5904e+07	-0.03125	-0.03125	0	0.03125
1.59e+07	-0.03125	-0.03125	0	0.015625
1.5896e+07	-0.03125	-0.03125	0	0.03125
1.5892e+07	-0.03125	-0.03125	0	0.015625
1.5888e+07	-0.03125	-0.03125	0	0.03125
1.5884e+07	-0.03125	-0.03125	0	0.015625
1.588e+07	-0.03125	-0.03125	0	0.015625
1.5876e+07	-0.03125	-0.03125	0	0.015625
1.5872e+07	-0.03125	-0.03125	0	0.015625
1.5868e+07	-0.03125	-0.03125	0	0.015625
1.5864e+07	-0.03125	-0.03125	0	0.015625
1.586e+07	-0.03125	-0.03125	0	0.03125
1.5856e+07	-0.03125	-0.03125	0	0.03125
1.5852e+07	-0.03125	-0.03125	0	0.03125
1.5848e+07	-0.03125	-0.03125	0	0.015625
1.5844e+07	-0.03125	-0.03125	0	0.03125
1.584e+07	-0.03125	-0.03125	0	0.015625
1.5836e+07	-0.03125	-0.03125	0	0.015625
1.5832e+07	-0.03125	-0.03125	0	0.03125
1.5828e+07	-0.03125	-0.03125	0	0.015625
1.5824e+07	-0.03125	-0.03125	0	0.03125
1.582e+07	-0.03125	-0.03125	0	0.015625
1.5816e+07	-0.03125	-0.03125	0	0.015625
1.5812e+07	-0.03125	-0.03125	0	0.015625
1.5808e+07	-0.03125	-0.03125	0	0.03125
1.5804e+07	-0.03125	-0.03125	0	0.015625
1.58e+07	-0.03125	-0.03125	0	0.015625
1.5796e+07	-0.03125	-0.03125	0	0.03125
1.5792e+07	-0.03125	-0.03125	0	0.015625
1.5788e+07	-0.03125	-0.03125	0	0.015625
1.5784e+07	-0.03125	-0.03125	0	0.015625
1.578e+07	-0.03125	-0.03125	0	0.03125
1.5776e+07	-0.03125	-0.03125	0	0.015625
1.5772e+07	-0.03125	-0.03125	0	0.015625
1.5768e+07	-0.03125	-0.03125	0	0.015625
1.5764e+07	-0.03125	-0.03125	0	0.03125
1.576e+07	-0.03125	-0.03125	0	0.015625
1.5756e+07	-0.03125	-0.03125	0	0.015625
1.5752e+07	-0.03125	-0.03125	0	0.015625
1.5748e+07	-0.03125	-0.03125	0	0.03125
1.5744e+07	-0.03125	-0.03125	0	0.03125
1.574e+07	-0.03125	-0.03125	0	0.03125
1.5736e+07	-0.03125	-0.03125	0	0.015625
1.5732e+07	-0.03125	-0.03125	0	0.015625
1.5728e+07	-0.03125	-0.03125	0	0.015625
1.5724e+07	-0.03125	-0.03125	0	0.03125
1.572e+07	-0.03125	-0.03125	0	0.015625
1.5716e+07	-0.03125	-0.03125	0	0.03125
1.5712e+07	-0.03125	-0.03125	0	0.015625
1.5708e+07	-0.03125	-0.03125	0	0.03125
1.5704e+07	-0.03125	-0.03125	0	0.015625
1.57e+07	-0.03125	-0.03125	0	0.03125
1.5696e+07	-0.03125	-0.03125	0	0.015625
1.5692e+07	-0.03125	-0.03125	0	0.03125
1.5688e+07	-0.03125	-0.03125	0	0.03125
1.5684e+07	-0.03125	-0.03125	0	0.03125
1.568e+07	-0.03125	-0.03125	0	0.015625
1.5676e+07	-0.03125	-0.03125	0	0.03125
1.5672e+07	-0.03125	-0.03125	0	0.015625
1.5668e+07	-0.03125	-0.03125	0	0.015625
